팀 이름,등번호,이름,투타유형,생년월일,키,몸무게
한화 이글스,18,이상규,우투우타,1996-10-20,185cm,77kg
한화 이글스,26,한승혁,우투좌타,1993-01-03,185cm,100kg
한화 이글스,27,이민우,우투우타,1993-02-09,185cm,104kg
한화 이글스,28,장시환,우투우타,1987-11-01,184cm,97kg
한화 이글스,29,황준서,좌투좌타,2005-08-22,185cm,78kg
한화 이글스,36,장민재,우투우타,1990-03-19,184cm,106kg
한화 이글스,47,김범수,좌투좌타,1995-10-03,181cm,92kg
한화 이글스,58,박상원,우투우타,1994-09-09,187cm,98kg
한화 이글스,60,김규연,우투우타,2002-08-23,183cm,91kg
한화 이글스,66,주현상,우투우타,1992-08-10,177cm,92kg
한화 이글스,68,조동욱,좌투좌타,2004-11-02,190cm,82kg
한화 이글스,99,류현진,좌투우타,1987-03-25,190cm,113kg
롯데 자이언츠,1,한현희,우언우타,1993-06-25,182cm,98kg
롯데 자이언츠,15,김진욱,좌투좌타,2002-07-05,185cm,90kg
롯데 자이언츠,19,김강현,우투좌타,1995-02-27,177cm,84kg
롯데 자이언츠,21,박세웅,우투우타,1995-11-30,182cm,85kg
롯데 자이언츠,22,구승민,우투우타,1990-06-12,182cm,86kg
롯데 자이언츠,24,김상수,우투우타,1988-01-02,180cm,88kg
롯데 자이언츠,30,이민석,우투우타,2003-12-10,189cm,95kg
롯데 자이언츠,34,김원중,우투좌타,1993-06-14,192cm,96kg
롯데 자이언츠,44,박진,우투우타,1999-04-02,182cm,106kg
롯데 자이언츠,46,윌커슨,우투우타,1989-05-24,188cm,104kg
롯데 자이언츠,49,최이준,우투우타,1999-04-10,182cm,90kg
롯데 자이언츠,61,전미르,우투우타,2005-08-15,187cm,100kg
키움 히어로즈,00,박윤성,우투우타,2004-02-08,183cm,96kg
키움 히어로즈,8,김성민,좌투좌타,1994-04-26,181cm,90kg
키움 히어로즈,11,조상우,우투우타,1994-09-04,186cm,97kg
키움 히어로즈,20,조영건,우투우타,1999-02-04,180cm,85kg
키움 히어로즈,21,문성현,우투우타,1991-11-09,182cm,89kg
키움 히어로즈,30,주승우,우투우타,2000-01-30,180cm,82kg
키움 히어로즈,31,오석주,우투우타,1998-04-14,180cm,74kg
키움 히어로즈,42,박승주,우투우타,1994-02-12,183cm,96kg
키움 히어로즈,49,김선기,우투우타,1991-09-01,187cm,98kg
키움 히어로즈,54,헤이수스,좌투좌타,1996-12-10,192cm,104kg
키움 히어로즈,67,김인범,우투우타,2000-01-12,187cm,91kg
키움 히어로즈,95,윤석원,좌투좌타,2003-07-04,185cm,81kg
